"REF_DATE","GEO","DGUID","Indicator","Type of use","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1961","Canada","2016A000011124","Total use","Non-medical use","Dollars","81","millions","6","v1001809186","1.7.2.0.0.0.0.0.0.0","190","","","","0"
"1961","Canada","2016A000011124","Household final consumption expenditures","Medical use","Dollars","81","millions","6","v1001809175","1.8.1.0.0.0.0.0.0.0","0","","","","0"
"1961","Canada","2016A000011124","Household final consumption expenditures","Non-medical use","Dollars","81","millions","6","v1001809187","1.8.2.0.0.0.0.0.0.0","189","","","","0"
"1961","Canada","2016A000011124","Illegal sales abroad","Medical use","Dollars","81","millions","6","v1001809176","1.9.1.0.0.0.0.0.0.0","0","","","","0"
"1961","Canada","2016A000011124","Illegal sales abroad","Non-medical use","Dollars","81","millions","6","v1001809188","1.9.2.0.0.0.0.0.0.0","1","","","","0"
"1961","Canada","2016A000011124","Inventories","Medical use","Dollars","81","millions","6","v1001809172","1.11.1.0.0.0.0.0.0.0","0","","","","0"
"1961","Canada","2016A000011124","Inventories","Non-medical use","Dollars","81","millions","6","v1001809184","1.11.2.0.0.0.0.0.0.0","0","","","","0"
"1961","Canada","2016A000011124","Gross domestic product (GDP)","Medical use","Dollars","81","millions","6","v1001809178","1.10.1.0.0.0.0.0.0.0","0","","","","0"
"1961","Canada","2016A000011124","Gross domestic product (GDP)","Non-medical use","Dollars","81","millions","6","v1001809190","1.10.2.0.0.0.0.0.0.0","94","","","","0"
"1962","Canada","2016A000011124","Total supply","Medical use","Dollars","81","millions","6","v1001809167","1.1.1.0.0.0.0.0.0.0","0","","","","0"
"1962","Canada","2016A000011124","Total supply","Non-medical use","Dollars","81","millions","6","v1001809179","1.1.2.0.0.0.0.0.0.0","217","","","","0"
"1962","Canada","2016A000011124","Domestic production","Medical use","Dollars","81","millions","6","v1001809168","1.2.1.0.0.0.0.0.0.0","0","","","","0"
"1962","Canada","2016A000011124","Domestic production","Non-medical use","Dollars","81","millions","6","v1001809180","1.2.2.0.0.0.0.0.0.0","95","","","","0"
"1962","Canada","2016A000011124","Domestic market production","Medical use","Dollars","81","millions","6","v1001809169","1.3.1.0.0.0.0.0.0.0","0","","","","0"
"1962","Canada","2016A000011124","Domestic market production","Non-medical use","Dollars","81","millions","6","v1001809181","1.3.2.0.0.0.0.0.0.0","93","","","","0"
"1962","Canada","2016A000011124","Domestic own-use production","Medical use","Dollars","81","millions","6","v1001809170","1.4.1.0.0.0.0.0.0.0","0","","","","0"
"1962","Canada","2016A000011124","Domestic own-use production","Non-medical use","Dollars","81","millions","6","v1001809182","1.4.2.0.0.0.0.0.0.0","2","","","","0"
"1962","Canada","2016A000011124","Illegal purchases from abroad","Medical use","Dollars","81","millions","6","v1001809171","1.5.1.0.0.0.0.0.0.0","0","","","","0"
"1962","Canada","2016A000011124","Illegal purchases from abroad","Non-medical use","Dollars","81","millions","6","v1001809183","1.5.2.0.0.0.0.0.0.0","69","","","","0"
"1962","Canada","2016A000011124","Dealer margin","Medical use","Dollars","81","millions","6","v1001809173","1.6.1.0.0.0.0.0.0.0","0","","","","0"
"1962","Canada","2016A000011124","Dealer margin","Non-medical use","Dollars","81","millions","6","v1001809185","1.6.2.0.0.0.0.0.0.0","53","","","","0"
"1962","Canada","2016A000011124","Total use","Medical use","Dollars","81","millions","6","v1001809174","1.7.1.0.0.0.0.0.0.0","0","","","","0"
"1962","Canada","2016A000011124","Total use","Non-medical use","Dollars","81","millions","6","v1001809186","1.7.2.0.0.0.0.0.0.0","217","","","","0"
"1962","Canada","2016A000011124","Household final consumption expenditures","Medical use","Dollars","81","millions","6","v1001809175","1.8.1.0.0.0.0.0.0.0","0","","","","0"
"1962","Canada","2016A000011124","Household final consumption expenditures","Non-medical use","Dollars","81","millions","6","v1001809187","1.8.2.0.0.0.0.0.0.0","216","","","","0"
"1962","Canada","2016A000011124","Illegal sales abroad","Medical use","Dollars","81","millions","6","v1001809176","1.9.1.0.0.0.0.0.0.0","0","","","","0"
"1962","Canada","2016A000011124","Illegal sales abroad","Non-medical use","Dollars","81","millions","6","v1001809188","1.9.2.0.0.0.0.0.0.0","1","","","","0"
"1962","Canada","2016A000011124","Inventories","Medical use","Dollars","81","millions","6","v1001809172","1.11.1.0.0.0.0.0.0.0","0","","","","0"
"1962","Canada","2016A000011124","Inventories","Non-medical use","Dollars","81","millions","6","v1001809184","1.11.2.0.0.0.0.0.0.0","0","","","","0"
"1962","Canada","2016A000011124","Gross domestic product (GDP)","Medical use","Dollars","81","millions","6","v1001809178","1.10.1.0.0.0.0.0.0.0","0","","","","0"
"1962","Canada","2016A000011124","Gross domestic product (GDP)","Non-medical use","Dollars","81","millions","6","v1001809190","1.10.2.0.0.0.0.0.0.0","107","","","","0"
"1963","Canada","2016A000011124","Total supply","Medical use","Dollars","81","millions","6","v1001809167","1.1.1.0.0.0.0.0.0.0","0","","","","0"
"1963","Canada","2016A000011124","Total supply","Non-medical use","Dollars","81","millions","6","v1001809179","1.1.2.0.0.0.0.0.0.0","255","","","","0"
"1963","Canada","2016A000011124","Domestic production","Medical use","Dollars","81","millions","6","v1001809168","1.2.1.0.0.0.0.0.0.0","0","","","","0"
"1963","Canada","2016A000011124","Domestic production","Non-medical use","Dollars","81","millions","6","v1001809180","1.2.2.0.0.0.0.0.0.0","111","","","","0"
"1963","Canada","2016A000011124","Domestic market production","Medical use","Dollars","81","millions","6","v1001809169","1.3.1.0.0.0.0.0.0.0","0","","","","0"
"1963","Canada","2016A000011124","Domestic market production","Non-medical use","Dollars","81","millions","6","v1001809181","1.3.2.0.0.0.0.0.0.0","109","","","","0"
"1963","Canada","2016A000011124","Domestic own-use production","Medical use","Dollars","81","millions","6","v1001809170","1.4.1.0.0.0.0.0.0.0","0","","","","0"
"1963","Canada","2016A000011124","Domestic own-use production","Non-medical use","Dollars","81","millions","6","v1001809182","1.4.2.0.0.0.0.0.0.0","2","","","","0"
"1963","Canada","2016A000011124","Illegal purchases from abroad","Medical use","Dollars","81","millions","6","v1001809171","1.5.1.0.0.0.0.0.0.0","0","","","","0"
"1963","Canada","2016A000011124","Illegal purchases from abroad","Non-medical use","Dollars","81","millions","6","v1001809183","1.5.2.0.0.0.0.0.0.0","82","","","","0"
"1963","Canada","2016A000011124","Dealer margin","Medical use","Dollars","81","millions","6","v1001809173","1.6.1.0.0.0.0.0.0.0","0","","","","0"
"1963","Canada","2016A000011124","Dealer margin","Non-medical use","Dollars","81","millions","6","v1001809185","1.6.2.0.0.0.0.0.0.0","62","","","","0"
"1963","Canada","2016A000011124","Total use","Medical use","Dollars","81","millions","6","v1001809174","1.7.1.0.0.0.0.0.0.0","0","","","","0"
"1963","Canada","2016A000011124","Total use","Non-medical use","Dollars","81","millions","6","v1001809186","1.7.2.0.0.0.0.0.0.0","255","","","","0"
"1963","Canada","2016A000011124","Household final consumption expenditures","Medical use","Dollars","81","millions","6","v1001809175","1.8.1.0.0.0.0.0.0.0","0","","","","0"
"1963","Canada","2016A000011124","Household final consumption expenditures","Non-medical use","Dollars","81","millions","6","v1001809187","1.8.2.0.0.0.0.0.0.0","253","","","","0"
"1963","Canada","2016A000011124","Illegal sales abroad","Medical use","Dollars","81","millions","6","v1001809176","1.9.1.0.0.0.0.0.0.0","0","","","","0"
"1963","Canada","2016A000011124","Illegal sales abroad","Non-medical use","Dollars","81","millions","6","v1001809188","1.9.2.0.0.0.0.0.0.0","2","","","","0"
"1963","Canada","2016A000011124","Inventories","Medical use","Dollars","81","millions","6","v1001809172","1.11.1.0.0.0.0.0.0.0","0","","","","0"
"1963","Canada","2016A000011124","Inventories","Non-medical use","Dollars","81","millions","6","v1001809184","1.11.2.0.0.0.0.0.0.0","0","","","","0"
"1963","Canada","2016A000011124","Gross domestic product (GDP)","Medical use","Dollars","81","millions","6","v1001809178","1.10.1.0.0.0.0.0.0.0","0","","","","0"
"1963","Canada","2016A000011124","Gross domestic product (GDP)","Non-medical use","Dollars","81","millions","6","v1001809190","1.10.2.0.0.0.0.0.0.0","125","","","","0"
"1964","Canada","2016A000011124","Total supply","Medical use","Dollars","81","millions","6","v1001809167","1.1.1.0.0.0.0.0.0.0","0","","","","0"
"1964","Canada","2016A000011124","Total supply","Non-medical use","Dollars","81","millions","6","v1001809179","1.1.2.0.0.0.0.0.0.0","305","","","","0"
"1964","Canada","2016A000011124","Domestic production","Medical use","Dollars","81","millions","6","v1001809168","1.2.1.0.0.0.0.0.0.0","0","","","","0"
"1964","Canada","2016A000011124","Domestic production","Non-medical use","Dollars","81","millions","6","v1001809180","1.2.2.0.0.0.0.0.0.0","133","","","","0"
"1964","Canada","2016A000011124","Domestic market production","Medical use","Dollars","81","millions","6","v1001809169","1.3.1.0.0.0.0.0.0.0","0","","","","0"
"1964","Canada","2016A000011124","Domestic market production","Non-medical use","Dollars","81","millions","6","v1001809181","1.3.2.0.0.0.0.0.0.0","130","","","","0"
"1964","Canada","2016A000011124","Domestic own-use production","Medical use","Dollars","81","millions","6","v1001809170","1.4.1.0.0.0.0.0.0.0","0","","","","0"
"1964","Canada","2016A000011124","Domestic own-use production","Non-medical use","Dollars","81","millions","6","v1001809182","1.4.2.0.0.0.0.0.0.0","3","","","","0"
"1964","Canada","2016A000011124","Illegal purchases from abroad","Medical use","Dollars","81","millions","6","v1001809171","1.5.1.0.0.0.0.0.0.0","0","","","","0"
"1964","Canada","2016A000011124","Illegal purchases from abroad","Non-medical use","Dollars","81","millions","6","v1001809183","1.5.2.0.0.0.0.0.0.0","97","","","","0"
"1964","Canada","2016A000011124","Dealer margin","Medical use","Dollars","81","millions","6","v1001809173","1.6.1.0.0.0.0.0.0.0","0","","","","0"
"1964","Canada","2016A000011124","Dealer margin","Non-medical use","Dollars","81","millions","6","v1001809185","1.6.2.0.0.0.0.0.0.0","74","","","","0"
"1964","Canada","2016A000011124","Total use","Medical use","Dollars","81","millions","6","v1001809174","1.7.1.0.0.0.0.0.0.0","0","","","","0"
"1964","Canada","2016A000011124","Total use","Non-medical use","Dollars","81","millions","6","v1001809186","1.7.2.0.0.0.0.0.0.0","305","","","","0"
"1964","Canada","2016A000011124","Household final consumption expenditures","Medical use","Dollars","81","millions","6","v1001809175","1.8.1.0.0.0.0.0.0.0","0","","","","0"
"1964","Canada","2016A000011124","Household final consumption expenditures","Non-medical use","Dollars","81","millions","6","v1001809187","1.8.2.0.0.0.0.0.0.0","303","","","","0"
"1964","Canada","2016A000011124","Illegal sales abroad","Medical use","Dollars","81","millions","6","v1001809176","1.9.1.0.0.0.0.0.0.0","0","","","","0"
"1964","Canada","2016A000011124","Illegal sales abroad","Non-medical use","Dollars","81","millions","6","v1001809188","1.9.2.0.0.0.0.0.0.0","2","","","","0"
"1964","Canada","2016A000011124","Inventories","Medical use","Dollars","81","millions","6","v1001809172","1.11.1.0.0.0.0.0.0.0","0","","","","0"
"1964","Canada","2016A000011124","Inventories","Non-medical use","Dollars","81","millions","6","v1001809184","1.11.2.0.0.0.0.0.0.0","0","","","","0"
"1964","Canada","2016A000011124","Gross domestic product (GDP)","Medical use","Dollars","81","millions","6","v1001809178","1.10.1.0.0.0.0.0.0.0","0","","","","0"
"1964","Canada","2016A000011124","Gross domestic product (GDP)","Non-medical use","Dollars","81","millions","6","v1001809190","1.10.2.0.0.0.0.0.0.0","150","","","","0"
"1965","Canada","2016A000011124","Total supply","Medical use","Dollars","81","millions","6","v1001809167","1.1.1.0.0.0.0.0.0.0","0","","","","0"
"1965","Canada","2016A000011124","Total supply","Non-medical use","Dollars","81","millions","6","v1001809179","1.1.2.0.0.0.0.0.0.0","372","","","","0"
"1965","Canada","2016A000011124","Domestic production","Medical use","Dollars","81","millions","6","v1001809168","1.2.1.0.0.0.0.0.0.0","0","","","","0"
"1965","Canada","2016A000011124","Domestic production","Non-medical use","Dollars","81","millions","6","v1001809180","1.2.2.0.0.0.0.0.0.0","163","","","","0"
"1965","Canada","2016A000011124","Domestic market production","Medical use","Dollars","81","millions","6","v1001809169","1.3.1.0.0.0.0.0.0.0","0","","","","0"
"1965","Canada","2016A000011124","Domestic market production","Non-medical use","Dollars","81","millions","6","v1001809181","1.3.2.0.0.0.0.0.0.0","159","","","","0"
"1965","Canada","2016A000011124","Domestic own-use production","Medical use","Dollars","81","millions","6","v1001809170","1.4.1.0.0.0.0.0.0.0","0","","","","0"
"1965","Canada","2016A000011124","Domestic own-use production","Non-medical use","Dollars","81","millions","6","v1001809182","1.4.2.0.0.0.0.0.0.0","3","","","","0"
"1965","Canada","2016A000011124","Illegal purchases from abroad","Medical use","Dollars","81","millions","6","v1001809171","1.5.1.0.0.0.0.0.0.0","0","","","","0"
"1965","Canada","2016A000011124","Illegal purchases from abroad","Non-medical use","Dollars","81","millions","6","v1001809183","1.5.2.0.0.0.0.0.0.0","119","","","","0"
"1965","Canada","2016A000011124","Dealer margin","Medical use","Dollars","81","millions","6","v1001809173","1.6.1.0.0.0.0.0.0.0","0","","","","0"
"1965","Canada","2016A000011124","Dealer margin","Non-medical use","Dollars","81","millions","6","v1001809185","1.6.2.0.0.0.0.0.0.0","91","","","","0"
"1965","Canada","2016A000011124","Total use","Medical use","Dollars","81","millions","6","v1001809174","1.7.1.0.0.0.0.0.0.0","0","","","","0"
"1965","Canada","2016A000011124","Total use","Non-medical use","Dollars","81","millions","6","v1001809186","1.7.2.0.0.0.0.0.0.0","372","","","","0"
"1965","Canada","2016A000011124","Household final consumption expenditures","Medical use","Dollars","81","millions","6","v1001809175","1.8.1.0.0.0.0.0.0.0","0","","","","0"
"1965","Canada","2016A000011124","Household final consumption expenditures","Non-medical use","Dollars","81","millions","6","v1001809187","1.8.2.0.0.0.0.0.0.0","370","","","","0"
"1965","Canada","2016A000011124","Illegal sales abroad","Medical use","Dollars","81","millions","6","v1001809176","1.9.1.0.0.0.0.0.0.0","0","","","","0"
"1965","Canada","2016A000011124","Illegal sales abroad","Non-medical use","Dollars","81","millions","6","v1001809188","1.9.2.0.0.0.0.0.0.0","2","","","","0"
"1965","Canada","2016A000011124","Inventories","Medical use","Dollars","81","millions","6","v1001809172","1.11.1.0.0.0.0.0.0.0","0","","","","0"
"1965","Canada","2016A000011124","Inventories","Non-medical use","Dollars","81","millions","6","v1001809184","1.11.2.0.0.0.0.0.0.0","0","","","","0"
"1965","Canada","2016A000011124","Gross domestic product (GDP)","Medical use","Dollars","81","millions","6","v1001809178","1.10.1.0.0.0.0.0.0.0","0","","","","0"
"1965","Canada","2016A000011124","Gross domestic product (GDP)","Non-medical use","Dollars","81","millions","6","v1001809190","1.10.2.0.0.0.0.0.0.0","183","","","","0"
"1966","Canada","2016A000011124","Total supply","Medical use","Dollars","81","millions","6","v1001809167","1.1.1.0.0.0.0.0.0.0","0","","","","0"
"1966","Canada","2016A000011124","Total supply","Non-medical use","Dollars","81","millions","6","v1001809179","1.1.2.0.0.0.0.0.0.0","455","","","","0"
"1966","Canada","2016A000011124","Domestic production","Medical use","Dollars","81","millions","6","v1001809168","1.2.1.0.0.0.0.0.0.0","0","","","","0"
"1966","Canada","2016A000011124","Domestic production","Non-medical use","Dollars","81","millions","6","v1001809180","1.2.2.0.0.0.0.0.0.0","199","","","","0"
"1966","Canada","2016A000011124","Domestic market production","Medical use","Dollars","81","millions","6","v1001809169","1.3.1.0.0.0.0.0.0.0","0","","","","0"
"1966","Canada","2016A000011124","Domestic market production","Non-medical use","Dollars","81","millions","6","v1001809181","1.3.2.0.0.0.0.0.0.0","194","","","","0"
"1966","Canada","2016A000011124","Domestic own-use production","Medical use","Dollars","81","millions","6","v1001809170","1.4.1.0.0.0.0.0.0.0","0","","","","0"
"1966","Canada","2016A000011124","Domestic own-use production","Non-medical use","Dollars","81","millions","6","v1001809182","1.4.2.0.0.0.0.0.0.0","4","","","","0"
"1966","Canada","2016A000011124","Illegal purchases from abroad","Medical use","Dollars","81","millions","6","v1001809171","1.5.1.0.0.0.0.0.0.0","0","","","","0"
"1966","Canada","2016A000011124","Illegal purchases from abroad","Non-medical use","Dollars","81","millions","6","v1001809183","1.5.2.0.0.0.0.0.0.0","145","","","","0"
"1966","Canada","2016A000011124","Dealer margin","Medical use","Dollars","81","millions","6","v1001809173","1.6.1.0.0.0.0.0.0.0","0","","","","0"
"1966","Canada","2016A000011124","Dealer margin","Non-medical use","Dollars","81","millions","6","v1001809185","1.6.2.0.0.0.0.0.0.0","111","","","","0"
"1966","Canada","2016A000011124","Total use","Medical use","Dollars","81","millions","6","v1001809174","1.7.1.0.0.0.0.0.0.0","0","","","","0"
"1966","Canada","2016A000011124","Total use","Non-medical use","Dollars","81","millions","6","v1001809186","1.7.2.0.0.0.0.0.0.0","455","","","","0"
"1966","Canada","2016A000011124","Household final consumption expenditures","Medical use","Dollars","81","millions","6","v1001809175","1.8.1.0.0.0.0.0.0.0","0","","","","0"
"1966","Canada","2016A000011124","Household final consumption expenditures","Non-medical use","Dollars","81","millions","6","v1001809187","1.8.2.0.0.0.0.0.0.0","452","","","","0"
"1966","Canada","2016A000011124","Illegal sales abroad","Medical use","Dollars","81","millions","6","v1001809176","1.9.1.0.0.0.0.0.0.0","0","","","","0"
"1966","Canada","2016A000011124","Illegal sales abroad","Non-medical use","Dollars","81","millions","6","v1001809188","1.9.2.0.0.0.0.0.0.0","3","","","","0"
"1966","Canada","2016A000011124","Inventories","Medical use","Dollars","81","millions","6","v1001809172","1.11.1.0.0.0.0.0.0.0","0","","","","0"
"1966","Canada","2016A000011124","Inventories","Non-medical use","Dollars","81","millions","6","v1001809184","1.11.2.0.0.0.0.0.0.0","0","","","","0"
"1966","Canada","2016A000011124","Gross domestic product (GDP)","Medical use","Dollars","81","millions","6","v1001809178","1.10.1.0.0.0.0.0.0.0","0","","","","0"
"1966","Canada","2016A000011124","Gross domestic product (GDP)","Non-medical use","Dollars","81","millions","6","v1001809190","1.10.2.0.0.0.0.0.0.0","223","","","","0"
"1967","Canada","2016A000011124","Total supply","Medical use","Dollars","81","millions","6","v1001809167","1.1.1.0.0.0.0.0.0.0","0","","","","0"
"1967","Canada","2016A000011124","Total supply","Non-medical use","Dollars","81","millions","6","v1001809179","1.1.2.0.0.0.0.0.0.0","557","","","","0"
"1967","Canada","2016A000011124","Domestic production","Medical use","Dollars","81","millions","6","v1001809168","1.2.1.0.0.0.0.0.0.0","0","","","","0"
"1967","Canada","2016A000011124","Domestic production","Non-medical use","Dollars","81","millions","6","v1001809180","1.2.2.0.0.0.0.0.0.0","243","","","","0"
"1967","Canada","2016A000011124","Domestic market production","Medical use","Dollars","81","millions","6","v1001809169","1.3.1.0.0.0.0.0.0.0","0","","","","0"
"1967","Canada","2016A000011124","Domestic market production","Non-medical use","Dollars","81","millions","6","v1001809181","1.3.2.0.0.0.0.0.0.0","238","","","","0"
"1967","Canada","2016A000011124","Domestic own-use production","Medical use","Dollars","81","millions","6","v1001809170","1.4.1.0.0.0.0.0.0.0","0","","","","0"
"1967","Canada","2016A000011124","Domestic own-use production","Non-medical use","Dollars","81","millions","6","v1001809182","1.4.2.0.0.0.0.0.0.0","5","","","","0"
"1967","Canada","2016A000011124","Illegal purchases from abroad","Medical use","Dollars","81","millions","6","v1001809171","1.5.1.0.0.0.0.0.0.0","0","","","","0"
"1967","Canada","2016A000011124","Illegal purchases from abroad","Non-medical use","Dollars","81","millions","6","v1001809183","1.5.2.0.0.0.0.0.0.0","178","","","","0"
"1967","Canada","2016A000011124","Dealer margin","Medical use","Dollars","81","millions","6","v1001809173","1.6.1.0.0.0.0.0.0.0","0","","","","0"
"1967","Canada","2016A000011124","Dealer margin","Non-medical use","Dollars","81","millions","6","v1001809185","1.6.2.0.0.0.0.0.0.0","135","","","","0"
"1967","Canada","2016A000011124","Total use","Medical use","Dollars","81","millions","6","v1001809174","1.7.1.0.0.0.0.0.0.0","0","","","","0"
"1967","Canada","2016A000011124","Total use","Non-medical use","Dollars","81","millions","6","v1001809186","1.7.2.0.0.0.0.0.0.0","557","","","","0"
"1967","Canada","2016A000011124","Household final consumption expenditures","Medical use","Dollars","81","millions","6","v1001809175","1.8.1.0.0.0.0.0.0.0","0","","","","0"
"1967","Canada","2016A000011124","Household final consumption expenditures","Non-medical use","Dollars","81","millions","6","v1001809187","1.8.2.0.0.0.0.0.0.0","553","","","","0"
"1967","Canada","2016A000011124","Illegal sales abroad","Medical use","Dollars","81","millions","6","v1001809176","1.9.1.0.0.0.0.0.0.0","0","","","","0"
"1967","Canada","2016A000011124","Illegal sales abroad","Non-medical use","Dollars","81","millions","6","v1001809188","1.9.2.0.0.0.0.0.0.0","3","","","","0"
"1967","Canada","2016A000011124","Inventories","Medical use","Dollars","81","millions","6","v1001809172","1.11.1.0.0.0.0.0.0.0","0","","","","0"
"1967","Canada","2016A000011124","Inventories","Non-medical use","Dollars","81","millions","6","v1001809184","1.11.2.0.0.0.0.0.0.0","0","","","","0"
"1967","Canada","2016A000011124","Gross domestic product (GDP)","Medical use","Dollars","81","millions","6","v1001809178","1.10.1.0.0.0.0.0.0.0","0","","","","0"
"1967","Canada","2016A000011124","Gross domestic product (GDP)","Non-medical use","Dollars","81","millions","6","v1001809190","1.10.2.0.0.0.0.0.0.0","273","","","","0"
"1968","Canada","2016A000011124","Total supply","Medical use","Dollars","81","millions","6","v1001809167","1.1.1.0.0.0.0.0.0.0","0","","","","0"
"1968","Canada","2016A000011124","Total supply","Non-medical use","Dollars","81","millions","6","v1001809179","1.1.2.0.0.0.0.0.0.0","677","","","","0"
"1968","Canada","2016A000011124","Domestic production","Medical use","Dollars","81","millions","6","v1001809168","1.2.1.0.0.0.0.0.0.0","0","","","","0"
"1968","Canada","2016A000011124","Domestic production","Non-medical use","Dollars","81","millions","6","v1001809180","1.2.2.0.0.0.0.0.0.0","295","","","","0"
"1968","Canada","2016A000011124","Domestic market production","Medical use","Dollars","81","millions","6","v1001809169","1.3.1.0.0.0.0.0.0.0","0","","","","0"
"1968","Canada","2016A000011124","Domestic market production","Non-medical use","Dollars","81","millions","6","v1001809181","1.3.2.0.0.0.0.0.0.0","289","","","","0"
"1968","Canada","2016A000011124","Domestic own-use production","Medical use","Dollars","81","millions","6","v1001809170","1.4.1.0.0.0.0.0.0.0","0","","","","0"
"1968","Canada","2016A000011124","Domestic own-use production","Non-medical use","Dollars","81","millions","6","v1001809182","1.4.2.0.0.0.0.0.0.0","6","","","","0"
"1968","Canada","2016A000011124","Illegal purchases from abroad","Medical use","Dollars","81","millions","6","v1001809171","1.5.1.0.0.0.0.0.0.0","0","","","","0"
"1968","Canada","2016A000011124","Illegal purchases from abroad","Non-medical use","Dollars","81","millions","6","v1001809183","1.5.2.0.0.0.0.0.0.0","217","","","","0"
"1968","Canada","2016A000011124","Dealer margin","Medical use","Dollars","81","millions","6","v1001809173","1.6.1.0.0.0.0.0.0.0","0","","","","0"
"1968","Canada","2016A000011124","Dealer margin","Non-medical use","Dollars","81","millions","6","v1001809185","1.6.2.0.0.0.0.0.0.0","165","","","","0"
"1968","Canada","2016A000011124","Total use","Medical use","Dollars","81","millions","6","v1001809174","1.7.1.0.0.0.0.0.0.0","0","","","","0"
"1968","Canada","2016A000011124","Total use","Non-medical use","Dollars","81","millions","6","v1001809186","1.7.2.0.0.0.0.0.0.0","677","","","","0"
"1968","Canada","2016A000011124","Household final consumption expenditures","Medical use","Dollars","81","millions","6","v1001809175","1.8.1.0.0.0.0.0.0.0","0","","","","0"
"1968","Canada","2016A000011124","Household final consumption expenditures","Non-medical use","Dollars","81","millions","6","v1001809187","1.8.2.0.0.0.0.0.0.0","673","","","","0"
"1968","Canada","2016A000011124","Illegal sales abroad","Medical use","Dollars","81","millions","6","v1001809176","1.9.1.0.0.0.0.0.0.0","0","","","","0"
"1968","Canada","2016A000011124","Illegal sales abroad","Non-medical use","Dollars","81","millions","6","v1001809188","1.9.2.0.0.0.0.0.0.0","4","","","","0"
"1968","Canada","2016A000011124","Inventories","Medical use","Dollars","81","millions","6","v1001809172","1.11.1.0.0.0.0.0.0.0","0","","","","0"
"1968","Canada","2016A000011124","Inventories","Non-medical use","Dollars","81","millions","6","v1001809184","1.11.2.0.0.0.0.0.0.0","0","","","","0"
"1968","Canada","2016A000011124","Gross domestic product (GDP)","Medical use","Dollars","81","millions","6","v1001809178","1.10.1.0.0.0.0.0.0.0","0","","","","0"
"1968","Canada","2016A000011124","Gross domestic product (GDP)","Non-medical use","Dollars","81","millions","6","v1001809190","1.10.2.0.0.0.0.0.0.0","332","","","","0"
"1969","Canada","2016A000011124","Total supply","Medical use","Dollars","81","millions","6","v1001809167","1.1.1.0.0.0.0.0.0.0","0","","","","0"
"1969","Canada","2016A000011124","Total supply","Non-medical use","Dollars","81","millions","6","v1001809179","1.1.2.0.0.0.0.0.0.0","808","","","","0"
"1969","Canada","2016A000011124","Domestic production","Medical use","Dollars","81","millions","6","v1001809168","1.2.1.0.0.0.0.0.0.0","0","","","","0"
"1969","Canada","2016A000011124","Domestic production","Non-medical use","Dollars","81","millions","6","v1001809180","1.2.2.0.0.0.0.0.0.0","352","","","","0"
"1969","Canada","2016A000011124","Domestic market production","Medical use","Dollars","81","millions","6","v1001809169","1.3.1.0.0.0.0.0.0.0","0","","","","0"
"1969","Canada","2016A000011124","Domestic market production","Non-medical use","Dollars","81","millions","6","v1001809181","1.3.2.0.0.0.0.0.0.0","345","","","","0"
"1969","Canada","2016A000011124","Domestic own-use production","Medical use","Dollars","81","millions","6","v1001809170","1.4.1.0.0.0.0.0.0.0","0","","","","0"
